time_ns,mid_V,rload_V,L1_i_A,Vdd_i_A,M1_vds_V,M1_vgs_V,M2_vds_V,M2_vgs_V,M1_id_A,M2_id_A
554.971,0.2148,-3.1870,-1.2498,-3.8434,72.2852,0.0000,0.2148,9.2322,0.000000,12.523785
555.865,0.0357,-6.2977,-2.4697,0.0065,72.4643,0.0000,0.0357,10.0000,0.000000,2.381864
571.986,0.2326,-38.9660,-15.2808,-0.0018,72.2674,0.0000,0.2326,10.0000,0.000000,15.279056
581.482,0.3084,-27.9376,-10.9559,0.1911,72.1916,0.0000,0.3084,5.0917,0.000000,5.408585
583.544,8.4208,-22.9400,-8.9961,2.4593,64.0792,0.0000,8.4208,0.0000,0.000000,0.000000
590.344,33.8536,-2.0758,-0.8141,1.6492,38.6464,1.7180,33.8536,0.0000,0.000000,0.000000
591.628,67.4826,2.1890,0.8584,-74.5401,5.0174,8.1415,67.4826,0.0000,121.940530,0.000000
592.110,72.4674,3.9042,1.5310,-1.8042,0.0326,10.0000,72.4674,0.0000,2.173273,0.000000
602.992,72.2959,34.3062,13.4534,-13.4452,0.2041,10.0000,72.2959,0.0000,13.434438,0.000000
617.375,72.3175,30.6313,12.0123,-12.0199,0.1825,10.0000,72.3175,0.0000,12.030457,0.000000
623.925,34.8689,12.8259,5.0297,-1.7413,37.6311,0.0000,34.8689,0.0000,0.000000,0.000000
628.062,23.2207,-1.0801,-0.4236,-11.6951,49.2793,0.0000,23.2207,5.9327,0.000000,38.067373
628.564,1.1419,-2.8352,-1.1118,-2.1859,71.3581,0.0000,1.1419,8.4432,0.000000,52.641637
629.072,0.0289,-4.6509,-1.8239,-0.0079,72.4711,0.0000,0.0289,10.0000,0.000000,1.925675
643.295,0.2316,-38.8386,-15.2308,0.0039,72.2684,0.0000,0.2316,10.0000,0.000000,15.212310
654.575,0.1457,-29.8953,-11.7237,0.0686,72.3543,0.0000,0.1457,8.3744,0.000000,7.326689
656.402,3.6016,-25.6418,-10.0556,2.2410,68.8984,0.0000,3.6016,0.0000,0.000000,0.000000
662.735,33.3486,-6.5464,-2.5672,0.8688,39.1514,0.0000,33.3486,0.0000,0.000000,0.000000
665.188,51.5489,1.6842,0.6605,-49.4169,20.9511,7.1890,51.5489,0.0000,79.945064,0.000000
665.665,72.4178,3.3954,1.3315,-0.7106,0.0822,9.5753,72.4178,0.0000,5.118226,0.000000
672.512,72.3486,25.5878,10.0344,-10.0212,0.1514,10.0000,72.3486,0.0000,10.005236,0.000000
687.619,72.2786,37.0786,14.5406,-14.5444,0.2214,10.0000,72.2786,0.0000,14.551301,0.000000
694.491,53.7672,22.7903,8.9374,-3.3076,18.7328,0.0000,53.7672,0.0000,0.000000,0.000000
701.555,27.1537,-0.3167,-0.1242,-3.0141,45.3463,0.0000,27.1537,4.6504,0.000000,11.160980
702.275,1.7310,-2.8446,-1.1155,-5.2640,70.7690,0.0000,1.7310,8.2511,0.000000,71.599391
702.698,0.0489,-4.3768,-1.7164,-0.1479,72.4511,0.0000,0.0489,10.0000,0.000000,3.258261
711.802,0.1885,-31.8056,-12.4728,0.0075,72.3115,0.0000,0.1885,10.0000,0.000000,12.419091
728.000,0.1851,-30.9764,-12.1476,-0.0033,72.3149,0.0000,0.1851,10.0000,0.000000,12.200410
730.138,3.6150,-25.9820,-10.1890,2.3152,68.8850,0.0000,3.6150,0.0000,0.000000,0.000000
736.121,32.9648,-7.7849,-3.0529,1.0858,39.5352,0.0000,32.9648,0.0000,0.000000,0.000000
738.959,53.4962,1.8696,0.7332,-52.0353,19.0038,7.2973,53.4962,0.0000,84.274423,0.000000
739.500,72.4205,3.8371,1.5047,-3.6395,0.0795,10.0000,72.4205,0.0000,5.280870,0.000000
748.367,72.3145,31.2157,12.2414,-12.2340,0.1855,10.0000,72.3145,0.0000,12.224526,0.000000
764.875,72.3126,31.4261,12.3240,-12.3333,0.1874,10.0000,72.3126,0.0000,12.346457,0.000000
771.386,33.9186,13.1542,5.1585,-1.7780,38.5814,0.0000,33.9186,0.0000,0.000000,0.000000
775.613,20.5730,-1.4812,-0.5809,-13.8011,51.9270,0.0000,20.5730,6.1913,0.000000,45.432112
776.106,0.6099,-3.2564,-1.2770,-6.6625,71.8901,0.0000,0.6099,8.6538,0.000000,30.944844
776.688,0.0303,-5.3847,-2.1116,0.0067,72.4697,0.0000,0.0303,10.0000,0.000000,2.022370
791.844,0.2416,-40.4649,-15.8686,-0.0009,72.2584,0.0000,0.2416,10.0000,0.000000,15.857234
802.371,0.2027,-29.8635,-11.7112,0.0785,72.2973,0.0000,0.2027,6.8966,0.000000,7.218238
804.416,6.7357,-24.7963,-9.7240,2.4930,65.7643,0.0000,6.7357,0.0000,0.000000,0.000000
811.625,35.3113,-1.7748,-0.6960,1.6051,37.1887,1.8750,35.3113,0.0000,0.000000,0.000000
812.913,70.8255,2.7035,1.0602,-31.5946,1.6745,8.3172,70.8255,0.0000,70.801839,0.000000
813.423,72.4725,4.5839,1.7976,-1.8146,0.0275,10.0000,72.4725,0.0000,1.836313,0.000000
826.937,72.2646,39.4352,15.4648,-15.4626,0.2354,10.0000,72.2646,0.0000,15.459501,0.000000
839.143,72.3079,30.4938,11.9583,-11.7743,0.1921,7.4089,72.3079,0.0000,7.808854,0.000000
842.509,49.6818,21.6420,8.4871,-3.1206,22.8182,0.0000,49.6818,0.0000,0.000000,0.000000
849.041,26.8941,-0.3877,-0.1520,-2.6510,45.6059,0.0000,26.8941,4.5783,0.000000,10.124382
